EVT  20080516, 125339.928793,   -1.736,  -10.351,     6.36,    43.63,   358.93,    0.000,     0.00,     2.21
EVT  20080513, 040058.435767,    6.321,    7.420,     5.31,    43.68,   252.56,    0.000,     0.00,     1.81
EVT  20080516, 205914.558143,    7.569,  -10.822,     3.41,    42.97,   247.65,    0.000,     0.00,     1.10
EVT  20080512, 082650.577601,  -10.929,   -5.199,    12.65,    26.47,   151.98,    0.000,     0.00,     2.87
EVT  20080512, 144136.228949,    7.525,  -10.933,     6.45,    30.38,     6.09,    0.000,     0.00,     1.45
EVT  20080513, 095847.425039,   -3.567,    1.754,    18.72,    31.94,   261.34,    0.000,     0.00,     5.44
EVT  20080514, 110617.370299,   -4.456,   -2.513,     3.51,    43.65,   253.17,    0.000,     0.00,     1.16
EVT  20080514, 190909.303851,   -1.088,    7.677,    14.42,    34.03,   336.82,    0.000,     0.00,     3.99
EVT  20080515, 002040.042834,    0.703,    6.290,     6.56,    40.56,   187.79,    0.000,     0.00,     1.95
EVT  20080515, 022539.332763,    8.168,    8.129,    15.43,    31.69,   172.35,    0.000,     0.00,     4.23
EVT  20080517, 145424.601145,    5.795,  -12.122,     7.55,    44.61,   279.69,    0.000,     0.00,     2.89
EVT  20080512, 191517.470689,   -2.868,  -16.261,    19.68,    24.83,   342.64,    0.000,     0.00,     5.14
EVT  20080515, 232505.065522,    7.971,   -4.374,    11.31,    32.94,   250.94,    0.000,     0.00,     2.89
EVT  20080517, 032427.492226,    7.491,    6.911,     7.57,    44.01,   117.14,    0.000,     0.00,     2.73
EVT  20080517, 213323.229961,   -8.888,  -11.912,    32.75,    41.31,   174.99,    0.000,     0.00,    13.03
EVT  20080512, 030523.193494,    5.489,  -10.103,    10.92,    40.68,   181.52,    0.000,     0.00,     3.66
EVT  20080512, 061126.189456,    3.546,   -3.078,     7.34,    40.33,   318.39,    0.000,     0.00,     2.22
EVT  20080512, 041240.003503,   -7.578,  -10.411,    39.66,    34.55,   146.33,    0.000,     0.00,    12.85
EVT  20080513, 004028.502893,   -2.070,   -4.918,     5.96,    41.03,   312.86,    0.000,     0.00,     1.76
EVT  20080517, 101356.776433,   -8.786,   -5.154,    12.92,    28.43,   230.34,    0.000,     0.00,     3.10
EVT  20080511, 060743.636153,  -11.951,   -1.593,     9.82,    27.37,    56.94,    0.000,     0.00,     2.15
EVT  20080511, 172356.205736,    6.082,  -11.859,    12.08,    38.61,    32.60,    0.000,     0.00,     3.80
EVT  20080512, 123347.348555,   -4.696,  -11.653,    18.94,    38.16,   148.33,    0.000,     0.00,     6.67
EVT  20080512, 114324.764855,    9.832,    0.797,    21.75,    39.24,    15.16,    0.000,     0.00,     8.06
EVT  20080514, 101534.632774,   -4.876,  -10.596,     6.69,    41.58,   169.20,    0.000,     0.00,     2.11
