20080610	170537.250297	89.54	-4.65	0.36
20080625	194552.588670	82.64	1.19	0.33
20080715	52631.723411	57.65	-0.89	0.94
20080810	124504.079061	122.59	-0.21	0.69
20081030	173035.480802	79.10	2.65	0.80
20081108	143041.070424	60.03	2.43	0.50
20081230	104932.313820	59.71	-3.61	0.64
20090122	225422.758870	57.96	5.43	0.89
20090328	43608.725324	81.17	1.74	1.09
20090329	34334.827418	74.96	2.10	1.03
20090428	192232.519232	64.70	-5.20	0.75
20090519	21952.740772	64.58	-2.67	0.43
20090614	13300.541880	62.39	-2.17	0.48
20090814	102617.221974	59.97	-0.96	0.77
20090919	84552.758006	61.98	-5.28	1.13
20091021	104942.332896	66.46	-4.85	0.77
20100108	71731.744184	57.46	-4.02	0.78
20100121	35351.708334	61.17	-4.90	1.07
20100222	71034.981767	63.52	2.40	0.91
20100714	170643.871250	96.03	-3.74	0.71
20100805	194407.298980	67.11	2.02	-0.02
20100829	212045.990119	69.93	2.39	0.72
20100830	205045.942279	93.29	-2.71	0.79
20100916	202632.130490	60.98	2.25	0.51
20100919	70500.885337	66.77	0.33	0.56
20100921	203706.051596	163.01	-2.69	0.34
20110105	5623.595069	67.43	-0.00	0.54
20110108	184041.135298	124.54	-1.09	0.77
20110228	161626.798436	137.64	5.04	-0.00
20110417	202029.313550	74.72	-4.84	1.01
